County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,8,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,1,25,25,30
Calaveras,-,-,-,-
Colusa,1,1,-,6
Contra Costa,1,39,4,-
Del Norte,-,-,-,-
El Dorado,-,-,-,-
Fresno,2,7,37,-
Glenn,3,6,14,6
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,2,2,81,1
Kings,-,10,50,-
Lake,-,6,30,1
Lassen,-,-,-,-
Los Angeles,15,202,223,48
Madera,-,7,12,-
Marin,-,2,-,1
Mariposa,-,-,-,-
Mendocino,-,1,-,-
Merced,-,26,6,7
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,3,-,-
Orange,1,12,9,-
Placer,-,19,71,4
Plumas,-,-,-,-
Riverside,2,13,45,11
Sacramento,2,110,239,2
San Benito,-,-,-,-
San Bernardino,-,10,117,8
San Diego,-,5,-,-
San Francisco,-,-,-,-
San Joaquin,2,25,76,-
San Luis Obispo,-,-,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,34,17,-
Santa Cruz,-,1,-,-
Shasta,-,18,3,5
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,4
Sonoma,-,7,-,-
Stanislaus,1,8,33,5
Sutter,-,14,58,22
Tehama,-,2,-,1
Trinity,-,1,-,-
Tulare,-,3,18,-
Tuolumne,-,1,-,-
Ventura,1,6,-,-
Yolo,1,61,168,5
Yuba,-,7,11,9
