County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,13,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,20,42,33,57
Calaveras,-,-,-,-
Colusa,2,1,-,8
Contra Costa,3,66,13,7
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,3,10,66,-
Glenn,7,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,12,2,179,12
Kings,-,11,77,-
Lake,-,10,61,5
Lassen,-,-,-,-
Los Angeles,79,304,390,118
Madera,2,7,15,2
Marin,2,6,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,39,8,21
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,6,-,2
Orange,4,31,30,-
Placer,4,38,89,13
Plumas,-,-,-,-
Riverside,16,21,80,35
Sacramento,3,170,380,6
San Benito,-,-,-,-
San Bernardino,4,31,225,20
San Diego,-,6,-,-
San Francisco,1,-,-,-
San Joaquin,5,34,161,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,49,25,2
Santa Cruz,-,1,1,-
Shasta,-,36,15,18
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,15,1,12
Sonoma,-,23,5,1
Stanislaus,12,13,156,8
Sutter,9,16,61,35
Tehama,-,3,-,8
Trinity,-,1,-,-
Tulare,4,6,93,4
Tuolumne,-,1,-,-
Ventura,1,8,-,-
Yolo,4,99,245,10
Yuba,4,11,14,11
