County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,12,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,8,39,29,39
Calaveras,-,-,-,-
Colusa,1,1,-,8
Contra Costa,2,52,12,4
Del Norte,-,-,-,-
El Dorado,1,-,-,-
Fresno,2,7,45,-
Glenn,4,8,16,9
Humboldt,-,1,-,-
Imperial,-,-,-,-
Inyo,-,-,-,-
Kern,6,2,140,2
Kings,-,10,66,-
Lake,-,7,52,5
Lassen,-,-,-,-
Los Angeles,35,271,283,81
Madera,-,7,14,-
Marin,1,5,-,1
Mariposa,-,-,-,-
Mendocino,-,2,-,-
Merced,-,31,7,11
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,1,-,-
Nevada,-,6,-,-
Orange,1,20,11,-
Placer,1,25,85,6
Plumas,-,-,-,-
Riverside,3,18,48,18
Sacramento,3,122,311,2
San Benito,-,-,-,-
San Bernardino,1,16,165,13
San Diego,-,5,-,-
San Francisco,1,-,-,-
San Joaquin,3,28,106,-
San Luis Obispo,-,1,1,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,45,22,-
Santa Cruz,-,1,1,-
Shasta,-,27,10,6
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,1,6,1,5
Sonoma,-,9,-,-
Stanislaus,3,11,81,8
Sutter,3,14,61,30
Tehama,-,3,-,1
Trinity,-,1,-,-
Tulare,-,3,57,-
Tuolumne,-,1,-,-
Ventura,1,7,-,-
Yolo,3,75,216,9
Yuba,-,7,14,9
