"County","Year","Cases"
"Alameda","2012",2
"Amador","2012",0
"Butte","2012",10
"Calaveras","2012",0
"Colusa","2012",3
"Contra Costa","2012",4
"El Dorado","2012",0
"Fresno","2012",24
"Glenn","2012",7
"Imperial","2012",1
"Kern","2012",25
"Kings","2012",3
"Lake","2012",1
"Los Angeles","2012",163
"Madera","2012",3
"Marin","2012",0
"Mendocino","2012",0
"Merced","2012",13
"Modoc","2012",0
"Mono","2012",0
"Monterey","2012",1
"Napa","2012",0
"Nevada","2012",0
"Orange","2012",42
"Placer","2012",12
"Riverside","2012",19
"Sacramento","2012",30
"San Bernardino","2012",32
"San Diego","2012",1
"San Francisco","2012",1
"San Joaquin","2012",13
"San Luis Obispo","2012",0
"Santa Barbara","2012",0
"Santa Clara","2012",0
"Santa Cruz","2012",0
"Shasta","2012",1
"Siskiyou","2012",0
"Solano","2012",2
"Sonoma","2012",0
"Stanislaus","2012",26
"Sutter","2012",8
"Tehama","2012",4
"Tulare","2012",7
"Ventura","2012",7
"Yolo","2012",10
"Yuba","2012",4
