"County","Year","Cases"
"Alameda","2008",1
"Amador","2008",0
"Butte","2008",6
"Calaveras","2008",1
"Colusa","2008",1
"Contra Costa","2008",4
"El Dorado","2008",1
"Fresno","2008",3
"Glenn","2008",1
"Imperial","2008",0
"Kern","2008",2
"Kings","2008",2
"Lake","2008",0
"Los Angeles","2008",156
"Madera","2008",0
"Marin","2008",0
"Mendocino","2008",0
"Merced","2008",1
"Modoc","2008",0
"Mono","2008",0
"Monterey","2008",0
"Napa","2008",0
"Nevada","2008",0
"Orange","2008",71
"Placer","2008",6
"Riverside","2008",62
"Sacramento","2008",13
"San Bernardino","2008",36
"San Diego","2008",35
"San Francisco","2008",0
"San Joaquin","2008",12
"San Luis Obispo","2008",0
"Santa Barbara","2008",1
"Santa Clara","2008",1
"Santa Cruz","2008",0
"Shasta","2008",1
"Siskiyou","2008",0
"Solano","2008",1
"Sonoma","2008",0
"Stanislaus","2008",17
"Sutter","2008",0
"Tehama","2008",4
"Tulare","2008",5
"Ventura","2008",0
"Yolo","2008",1
"Yuba","2008",0
