"County","Year","Cases"
"Alameda","2014",1
"Amador","2014",0
"Butte","2014",24
"Calaveras","2014",0
"Colusa","2014",3
"Contra Costa","2014",5
"El Dorado","2014",0
"Fresno","2014",43
"Glenn","2014",10
"Imperial","2014",1
"Kern","2014",11
"Kings","2014",4
"Lake","2014",1
"Los Angeles","2014",253
"Madera","2014",3
"Marin","2014",0
"Mendocino","2014",1
"Merced","2014",1
"Modoc","2014",0
"Mono","2014",0
"Monterey","2014",0
"Napa","2014",0
"Nevada","2014",0
"Orange","2014",263
"Placer","2014",7
"Riverside","2014",14
"Sacramento","2014",10
"San Bernardino","2014",21
"San Diego","2014",11
"San Francisco","2014",0
"San Joaquin","2014",9
"San Luis Obispo","2014",0
"Santa Barbara","2014",0
"Santa Clara","2014",10
"Santa Cruz","2014",0
"Shasta","2014",2
"Siskiyou","2014",0
"Solano","2014",5
"Sonoma","2014",0
"Stanislaus","2014",33
"Sutter","2014",8
"Tehama","2014",4
"Tulare","2014",21
"Ventura","2014",1
"Yolo","2014",15
"Yuba","2014",6
