"County","Year","Cases"
"Alameda","2009",0
"Amador","2009",0
"Butte","2009",2
"Calaveras","2009",0
"Colusa","2009",0
"Contra Costa","2009",5
"El Dorado","2009",1
"Fresno","2009",13
"Glenn","2009",0
"Imperial","2009",0
"Kern","2009",19
"Kings","2009",3
"Lake","2009",0
"Los Angeles","2009",20
"Madera","2009",1
"Marin","2009",0
"Mendocino","2009",0
"Merced","2009",4
"Modoc","2009",0
"Mono","2009",0
"Monterey","2009",1
"Napa","2009",0
"Nevada","2009",0
"Orange","2009",4
"Placer","2009",0
"Riverside","2009",3
"Sacramento","2009",0
"San Bernardino","2009",2
"San Diego","2009",4
"San Francisco","2009",0
"San Joaquin","2009",10
"San Luis Obispo","2009",0
"Santa Barbara","2009",0
"Santa Clara","2009",0
"Santa Cruz","2009",0
"Shasta","2009",0
"Siskiyou","2009",0
"Solano","2009",0
"Sonoma","2009",0
"Stanislaus","2009",13
"Sutter","2009",0
"Tehama","2009",0
"Tulare","2009",4
"Ventura","2009",0
"Yolo","2009",2
"Yuba","2009",1
