"County","Year","Cases"
"Alameda","2007",0
"Amador","2007",0
"Butte","2007",16
"Calaveras","2007",0
"Colusa","2007",2
"Contra Costa","2007",3
"El Dorado","2007",0
"Fresno","2007",17
"Glenn","2007",7
"Imperial","2007",3
"Kern","2007",140
"Kings","2007",7
"Lake","2007",0
"Los Angeles","2007",36
"Madera","2007",2
"Marin","2007",0
"Mendocino","2007",2
"Merced","2007",4
"Modoc","2007",0
"Mono","2007",0
"Monterey","2007",0
"Napa","2007",1
"Nevada","2007",0
"Orange","2007",9
"Placer","2007",4
"Riverside","2007",17
"Sacramento","2007",25
"San Bernardino","2007",4
"San Diego","2007",15
"San Francisco","2007",0
"San Joaquin","2007",10
"San Luis Obispo","2007",0
"Santa Barbara","2007",0
"Santa Clara","2007",4
"Santa Cruz","2007",0
"Shasta","2007",9
"Siskiyou","2007",0
"Solano","2007",1
"Sonoma","2007",1
"Stanislaus","2007",21
"Sutter","2007",3
"Tehama","2007",4
"Tulare","2007",10
"Ventura","2007",1
"Yolo","2007",2
"Yuba","2007",0
