"County","Year","Cases"
"Alameda","2010",1
"Amador","2010",0
"Butte","2010",1
"Calaveras","2010",0
"Colusa","2010",0
"Contra Costa","2010",4
"El Dorado","2010",0
"Fresno","2010",23
"Glenn","2010",2
"Imperial","2010",0
"Kern","2010",15
"Kings","2010",1
"Lake","2010",0
"Los Angeles","2010",4
"Madera","2010",7
"Marin","2010",0
"Mendocino","2010",0
"Merced","2010",1
"Modoc","2010",0
"Mono","2010",0
"Monterey","2010",0
"Napa","2010",0
"Nevada","2010",0
"Orange","2010",1
"Placer","2010",3
"Riverside","2010",0
"Sacramento","2010",12
"San Bernardino","2010",5
"San Diego","2010",0
"San Francisco","2010",1
"San Joaquin","2010",6
"San Luis Obispo","2010",0
"Santa Barbara","2010",0
"Santa Clara","2010",0
"Santa Cruz","2010",0
"Shasta","2010",0
"Siskiyou","2010",0
"Solano","2010",0
"Sonoma","2010",0
"Stanislaus","2010",12
"Sutter","2010",0
"Tehama","2010",0
"Tulare","2010",12
"Ventura","2010",0
"Yolo","2010",0
"Yuba","2010",0
