"County","Year","Cases"
"Alameda","2015",0
"Amador","2015",0
"Butte","2015",53
"Calaveras","2015",0
"Colusa","2015",1
"Contra Costa","2015",1
"El Dorado","2015",0
"Fresno","2015",8
"Glenn","2015",19
"Imperial","2015",1
"Kern","2015",11
"Kings","2015",0
"Lake","2015",2
"Los Angeles","2015",286
"Madera","2015",4
"Marin","2015",1
"Mendocino","2015",2
"Merced","2015",1
"Modoc","2015",0
"Mono","2015",0
"Monterey","2015",0
"Napa","2015",0
"Nevada","2015",2
"Orange","2015",92
"Placer","2015",0
"Riverside","2015",127
"Sacramento","2015",4
"San Bernardino","2015",53
"San Diego","2015",42
"San Francisco","2015",0
"San Joaquin","2015",2
"San Luis Obispo","2015",0
"Santa Barbara","2015",0
"Santa Clara","2015",8
"Santa Cruz","2015",0
"Shasta","2015",3
"Siskiyou","2015",1
"Solano","2015",1
"Sonoma","2015",0
"Stanislaus","2015",13
"Sutter","2015",2
"Tehama","2015",5
"Tulare","2015",13
"Ventura","2015",6
"Yolo","2015",8
"Yuba","2015",10
