"County","Year","Cases"
"Alameda","2013",0
"Amador","2013",0
"Butte","2013",24
"Calaveras","2013",0
"Colusa","2013",2
"Contra Costa","2013",5
"El Dorado","2013",1
"Fresno","2013",7
"Glenn","2013",9
"Imperial","2013",0
"Kern","2013",25
"Kings","2013",1
"Lake","2013",0
"Los Angeles","2013",158
"Madera","2013",3
"Marin","2013",2
"Mendocino","2013",0
"Merced","2013",0
"Modoc","2013",0
"Mono","2013",0
"Monterey","2013",0
"Napa","2013",1
"Nevada","2013",0
"Orange","2013",9
"Placer","2013",6
"Riverside","2013",35
"Sacramento","2013",10
"San Bernardino","2013",13
"San Diego","2013",0
"San Francisco","2013",1
"San Joaquin","2013",8
"San Luis Obispo","2013",0
"Santa Barbara","2013",1
"Santa Clara","2013",2
"Santa Cruz","2013",0
"Shasta","2013",1
"Siskiyou","2013",1
"Solano","2013",1
"Sonoma","2013",0
"Stanislaus","2013",18
"Sutter","2013",10
"Tehama","2013",3
"Tulare","2013",5
"Ventura","2013",2
"Yolo","2013",6
"Yuba","2013",9
