County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,17,1,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,16,27,5,31
Calaveras,-,3,-,-
Colusa,2,4,1,2
Contra Costa,2,26,28,5
Del Norte,-,-,-,-
El Dorado,-,7,-,-
Fresno,14,112,60,37
Glenn,7,36,1,8
Humboldt,-,2,-,-
Imperial,3,-,4,17
Inyo,-,1,-,-
Kern,132,123,206,68
Kings,7,9,30,21
Lake,-,3,8,2
Lassen,-,2,-,-
Los Angeles,35,150,84,16
Madera,2,6,8,4
Marin,-,3,-,-
Mariposa,-,-,-,-
Mendocino,2,3,-,-
Merced,4,33,2,5
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,4,-,-
Orange,8,20,24,-
Placer,2,16,25,13
Plumas,-,1,-,-
Riverside,14,6,30,28
Sacramento,19,135,135,15
San Benito,-,-,-,-
San Bernardino,3,26,5,24
San Diego,14,100,6,1
San Francisco,-,1,-,-
San Joaquin,6,42,154,24
San Luis Obispo,-,6,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,4,73,10,-
Santa Cruz,-,6,-,-
Shasta,9,46,17,6
Sierra,-,-,-,-
Siskiyou,-,4,-,-
Solano,1,3,-,5
Sonoma,1,8,1,-
Stanislaus,18,127,88,32
Sutter,2,1,23,17
Tehama,4,19,2,8
Trinity,-,1,-,-
Tulare,10,33,23,24
Tuolumne,-,1,-,-
Ventura,1,11,-,-
Yolo,1,24,10,4
Yuba,-,1,2,8
