County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,7,-,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,11,27,5,18
Calaveras,-,3,-,-
Colusa,1,2,1,2
Contra Costa,-,15,23,3
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,10,96,54,30
Glenn,7,32,1,8
Humboldt,-,2,-,-
Imperial,3,-,4,16
Inyo,-,1,-,-
Kern,101,106,193,51
Kings,3,3,25,7
Lake,-,2,6,2
Lassen,-,2,-,-
Los Angeles,8,69,60,1
Madera,-,3,7,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,1,1,-,-
Merced,3,26,1,1
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,3,9,4,-
Placer,-,12,21,3
Plumas,-,1,-,-
Riverside,1,3,22,22
Sacramento,13,82,122,10
San Benito,-,-,-,-
San Bernardino,2,12,3,7
San Diego,2,55,2,1
San Francisco,-,1,-,-
San Joaquin,4,30,133,8
San Luis Obispo,-,5,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,2,52,10,-
Santa Cruz,-,4,-,-
Shasta,4,41,16,2
Sierra,-,-,-,-
Siskiyou,-,2,-,-
Solano,1,1,-,5
Sonoma,1,1,-,-
Stanislaus,11,106,66,9
Sutter,2,1,21,10
Tehama,4,18,2,7
Trinity,-,1,-,-
Tulare,-,15,18,1
Tuolumne,-,1,-,-
Ventura,-,3,-,-
Yolo,1,16,7,3
Yuba,-,1,2,4
