County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,10,-,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,16,27,5,25
Calaveras,-,3,-,-
Colusa,1,3,1,2
Contra Costa,1,21,23,4
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,12,102,60,30
Glenn,7,33,1,8
Humboldt,-,2,-,-
Imperial,3,-,4,17
Inyo,-,1,-,-
Kern,116,113,200,59
Kings,5,5,30,21
Lake,-,3,8,2
Lassen,-,2,-,-
Los Angeles,13,118,76,10
Madera,-,5,8,4
Marin,-,2,-,-
Mariposa,-,-,-,-
Mendocino,2,1,-,-
Merced,4,29,1,2
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,3,14,8,-
Placer,2,14,23,5
Plumas,-,1,-,-
Riverside,9,4,28,25
Sacramento,14,104,128,15
San Benito,-,-,-,-
San Bernardino,2,19,5,20
San Diego,4,85,3,1
San Francisco,-,1,-,-
San Joaquin,4,35,147,18
San Luis Obispo,-,6,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,2,63,10,-
Santa Cruz,-,4,-,-
Shasta,7,43,16,3
Sierra,-,-,-,-
Siskiyou,-,4,-,-
Solano,1,2,-,5
Sonoma,1,2,1,-
Stanislaus,13,118,84,18
Sutter,2,1,23,14
Tehama,4,18,2,7
Trinity,-,1,-,-
Tulare,7,26,21,8
Tuolumne,-,1,-,-
Ventura,1,6,-,-
Yolo,1,20,10,4
Yuba,-,1,2,4
