County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,7,-,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,10,27,5,14
Calaveras,-,3,-,-
Colusa,1,1,-,2
Contra Costa,-,15,22,3
Del Norte,-,-,-,-
El Dorado,-,2,-,-
Fresno,10,90,50,20
Glenn,7,32,1,8
Humboldt,-,2,-,-
Imperial,2,-,4,16
Inyo,-,1,-,-
Kern,92,105,175,40
Kings,2,2,25,7
Lake,-,2,6,1
Lassen,-,2,-,-
Los Angeles,6,57,55,1
Madera,-,3,7,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,1,1,-,-
Merced,3,24,1,-
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,2,9,3,-
Placer,-,11,18,3
Plumas,-,1,-,-
Riverside,1,3,22,22
Sacramento,10,77,119,9
San Benito,-,-,-,-
San Bernardino,1,10,2,7
San Diego,-,44,-,-
San Francisco,-,-,-,-
San Joaquin,3,30,127,6
San Luis Obispo,-,5,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,2,50,8,-
Santa Cruz,-,4,-,-
Shasta,2,41,16,2
Sierra,-,-,-,-
Siskiyou,-,1,-,-
Solano,1,1,-,1
Sonoma,1,1,-,-
Stanislaus,10,101,63,5
Sutter,2,1,21,9
Tehama,3,17,1,7
Trinity,-,1,-,-
Tulare,-,13,10,-
Tuolumne,-,1,-,-
Ventura,-,3,-,-
Yolo,1,15,7,3
Yuba,-,1,2,3
