County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,3,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,6,27,4,7
Calaveras,-,2,-,-
Colusa,1,-,-,-
Contra Costa,-,12,5,1
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,7,77,25,10
Glenn,4,27,1,7
Humboldt,-,1,-,-
Imperial,1,-,3,15
Inyo,-,-,-,-
Kern,49,89,145,28
Kings,1,1,15,5
Lake,-,2,5,-
Lassen,-,1,-,-
Los Angeles,1,12,33,1
Madera,-,1,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,3,21,1,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,-,9,-,-
Placer,-,4,11,-
Plumas,-,1,-,-
Riverside,-,1,11,2
Sacramento,1,37,102,3
San Benito,-,-,-,-
San Bernardino,-,4,-,3
San Diego,-,10,-,-
San Francisco,-,-,-,-
San Joaquin,2,21,85,4
San Luis Obispo,-,2,-,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,2,39,5,-
Santa Cruz,-,2,-,-
Shasta,1,38,14,2
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,1,-,-
Sonoma,1,1,-,-
Stanislaus,4,77,35,4
Sutter,1,1,19,3
Tehama,-,13,-,7
Trinity,-,1,-,-
Tulare,-,6,3,-
Tuolumne,-,1,-,-
Ventura,-,-,-,-
Yolo,1,7,7,2
Yuba,-,1,2,2
