County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,8,-,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,16,27,5,25
Calaveras,-,3,-,-
Colusa,1,3,1,2
Contra Costa,-,18,23,4
Del Norte,-,-,-,-
El Dorado,-,3,-,-
Fresno,11,99,56,30
Glenn,7,33,1,8
Humboldt,-,2,-,-
Imperial,3,-,4,16
Inyo,-,1,-,-
Kern,108,110,193,59
Kings,5,5,30,9
Lake,-,3,7,2
Lassen,-,2,-,-
Los Angeles,13,92,75,5
Madera,-,5,7,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,1,1,-,-
Merced,4,27,1,1
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,3,9,8,-
Placer,2,12,23,3
Plumas,-,1,-,-
Riverside,7,3,27,23
Sacramento,13,96,128,15
San Benito,-,-,-,-
San Bernardino,2,16,4,8
San Diego,2,73,2,1
San Francisco,-,1,-,-
San Joaquin,4,32,139,9
San Luis Obispo,-,5,-,-
San Mateo,-,1,-,-
Santa Barbara,-,1,-,-
Santa Clara,2,55,10,-
Santa Cruz,-,4,-,-
Shasta,6,42,16,2
Sierra,-,-,-,-
Siskiyou,-,3,-,-
Solano,1,1,-,5
Sonoma,1,1,1,-
Stanislaus,12,114,83,17
Sutter,2,1,23,14
Tehama,4,18,2,7
Trinity,-,1,-,-
Tulare,-,19,21,2
Tuolumne,-,1,-,-
Ventura,1,5,-,-
Yolo,1,19,9,4
Yuba,-,1,2,4
