County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,16,1,-
Alpine,-,-,-,-
Amador,-,1,1,-
Butte,16,27,5,29
Calaveras,-,3,-,-
Colusa,2,4,1,2
Contra Costa,2,25,28,5
Del Norte,-,-,-,-
El Dorado,-,5,-,-
Fresno,14,110,60,35
Glenn,7,36,1,8
Humboldt,-,2,-,-
Imperial,3,-,4,17
Inyo,-,1,-,-
Kern,126,122,205,67
Kings,7,9,30,21
Lake,-,3,8,2
Lassen,-,2,-,-
Los Angeles,30,144,81,16
Madera,1,6,8,4
Marin,-,3,-,-
Mariposa,-,-,-,-
Mendocino,2,3,-,-
Merced,4,33,2,5
Modoc,-,1,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,1,2,-,-
Nevada,-,3,-,-
Orange,8,19,21,-
Placer,2,16,25,5
Plumas,-,1,-,-
Riverside,10,4,30,28
Sacramento,16,128,135,15
San Benito,-,-,-,-
San Bernardino,3,25,5,24
San Diego,14,94,6,1
San Francisco,-,1,-,-
San Joaquin,6,41,154,23
San Luis Obispo,-,6,-,-
San Mateo,-,2,-,-
Santa Barbara,-,1,-,-
Santa Clara,4,69,10,-
Santa Cruz,-,6,-,-
Shasta,8,45,17,5
Sierra,-,-,-,-
Siskiyou,-,4,-,-
Solano,1,3,-,5
Sonoma,1,7,1,-
Stanislaus,17,124,88,24
Sutter,2,1,23,17
Tehama,4,18,2,8
Trinity,-,1,-,-
Tulare,10,30,23,24
Tuolumne,-,1,-,-
Ventura,1,10,-,-
Yolo,1,22,10,4
Yuba,-,1,2,6
