County,Human Cases,Dead Birds,Mosquito Samples,Sentinel Chickens
Alameda,-,3,-,-
Alpine,-,-,-,-
Amador,-,-,-,-
Butte,2,27,4,-
Calaveras,-,2,-,-
Colusa,1,-,-,-
Contra Costa,-,11,-,-
Del Norte,-,-,-,-
El Dorado,-,1,-,-
Fresno,5,72,15,1
Glenn,2,27,1,7
Humboldt,-,1,-,-
Imperial,1,-,2,8
Inyo,-,-,-,-
Kern,39,79,109,27
Kings,1,1,15,2
Lake,-,-,5,-
Lassen,-,1,-,-
Los Angeles,-,7,14,1
Madera,-,1,-,-
Marin,-,-,-,-
Mariposa,-,-,-,-
Mendocino,1,-,-,-
Merced,3,20,1,-
Modoc,-,-,-,-
Mono,-,-,-,-
Monterey,-,-,-,-
Napa,-,-,-,-
Nevada,-,2,-,-
Orange,-,9,-,-
Placer,-,2,7,-
Plumas,-,1,-,-
Riverside,-,1,11,-
Sacramento,1,30,82,2
San Benito,-,-,-,-
San Bernardino,-,4,-,1
San Diego,-,9,-,-
San Francisco,-,-,-,-
San Joaquin,2,21,71,-
San Luis Obispo,-,2,-,-
San Mateo,-,-,-,-
Santa Barbara,-,-,-,-
Santa Clara,1,37,5,-
Santa Cruz,-,1,-,-
Shasta,1,34,13,1
Sierra,-,-,-,-
Siskiyou,-,-,-,-
Solano,-,1,-,-
Sonoma,1,1,-,-
Stanislaus,4,73,25,4
Sutter,-,1,18,1
Tehama,-,8,-,7
Trinity,-,1,-,-
Tulare,-,5,2,-
Tuolumne,-,1,-,-
Ventura,-,-,-,-
Yolo,-,7,7,2
Yuba,-,1,2,2
